sentence_1;sentence_2;similarity_score
Scientific research and laboratory apparatus, educational apparatus and simulators;Orthopedic and mobility aids;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Paper and cardboard;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Personal heating and drying implements;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Physical therapy equipment;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Printed matter;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Prosthetics and artificial implants;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Refrigerating and freezing equipment;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Regulating and safety accessories for water and gas installations;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Sanitary installations, water supply and sanitation equipment;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Science and technology services;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Sex aids;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Sporting articles and equipment;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Stationery and educational supplies;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Sun tanning appliances;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Telecommunication services;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Testing, authentication and quality control;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Vehicles and conveyances;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Works of art and figurines of paper and cardboard, and architects' models;0.0
Scientific services and design relating thereto;Adhesive plasters;0.0
Scientific services and design relating thereto;Disinfectants;0.0
Scientific services and design relating thereto;Materials for dressings;0.0
Scientific services and design relating thereto;Sanitary preparations for medical purposes;0.0
Scientific services and design relating thereto;Veterinary preparations;0.0
Scientific services and design relating thereto;Wound dressings;0.0
Scientific services and research relating thereto;Data processing apparatus;0.0
Scientific services and research relating thereto;Disinfectants;0.0
Scientific services and research relating thereto;Pharmaceutical preparations;0.0
Scientific services and research relating thereto;Veterinary preparations;0.0
Scientific services and research relating thereto;Wound dressings;0.0
Scooters [vehicles];Imitation leather;0.0
Scouring solutions;Cosmetic preparations;0.0
Scouring solutions;Cosmetics;0.0
Scouring solutions;Dentifrices;0.0
Scouring solutions;Ethereal oils;0.0
Scouring solutions;Fragrances;0.0
Scouring solutions;Hair care creams;0.0
Scouring solutions;Hair care lotions;0.0
Scouring solutions;Hair lotions;0.0
Scouring solutions;Hair tonic;0.0
Scouring solutions;Moistened tooth powder;0.0
Scouring solutions;Perfumery;0.0
Scouring solutions;Scented water;0.0
Scouring solutions;Tooth cleaning preparations;0.0
Scouring solutions;Tooth powder;0.0
Scouring solutions;Toothpaste;0.0
Scouring substances;Adhesive plasters;0.0
Scouring substances;Antifungal preparations;0.0
Scouring substances;Chemical preparations for destroying vermin;0.0
Scouring substances;Cosmetics;0.0
Scouring substances;Dental impression materials;0.0
Scouring substances;Dental materials for stopping the teeth;0.0
Scouring substances;Dentifrices;0.0
Scouring substances;Dietetic substances adapted for medical use;0.0
Scouring substances;Disinfectants;0.0
Scouring substances;Dressings, medical;0.0
Scouring substances;Ethereal oils;0.0
Scouring substances;Food for babies;0.0
Scouring substances;Fungicides;0.0
Scouring substances;Hair lotions;0.0
Scouring substances;Herbicides;0.0
Scouring substances;Perfumes;0.0
Scouring substances;Pharmaceutical preparations;0.0
Scouring substances;Sanitary preparations for medical purposes;0.0
Scouring substances;Shoemakers' wax;0.0
Scouring substances;Tailors' wax;0.0
Scouring substances;Teeth filling material;0.0
Scouring substances;Toiletries;0.0
Scouring substances;Veterinary preparations;0.0
Screens;Battery chargers;0.0
Screens;Chargers for electric batteries;0.0
Screens;Uninterruptable power supply apparatus;0.0
Screws [propellers] for ships;Apparatus for locomotion by air;0.0
Screws of metal;Asbestos;0.0
Sea water for cooking;Artificial coffee;0.0
Sea water for cooking;Baking powder;0.0
Sea water for cooking;Bread;0.0
Sea water for cooking;Cocoa;0.0
Sea water for cooking;Coffee;0.0
Sea water for cooking;Compotes;0.0
Sea water for cooking;Cooked fruits;0.0
Sea water for cooking;Dried fruit;0.0
Sea water for cooking;Edible fats;0.0
Sea water for cooking;Edible ices;0.0
Sea water for cooking;Eggs;0.0
Sea water for cooking;Fish, not live;0.0
Sea water for cooking;Flour;0.0
Sea water for cooking;Frozen fruits;0.0
Sea water for cooking;Frozen vegetables;0.0
Sea water for cooking;Fruit, preserved;0.0
Sea water for cooking;Game, not live;0.0
Sea water for cooking;Golden syrup;0.0
Sea water for cooking;Honey;0.0
Sea water for cooking;Ice for refreshment;0.0
Sea water for cooking;Jams;0.0
Sea water for cooking;Jellies for food;0.0
Sea water for cooking;Malt biscuits;0.0
Sea water for cooking;Meat;0.0
Sea water for cooking;Meat extracts;0.0
Sea water for cooking;Meats;0.0
Sea water for cooking;Milk;0.0
Sea water for cooking;Milk products;0.0
Sea water for cooking;Molasses for food;0.0
Sea water for cooking;Mustard;0.0
Sea water for cooking;Oils for food;0.0
Sea water for cooking;Poultry;0.0
Sea water for cooking;Preparations made from cereals;0.0
Sea water for cooking;Preserved vegetables;0.0
Sea water for cooking;Rice;0.0
Sea water for cooking;Sago;0.0
Sea water for cooking;Salt;0.0
Sea water for cooking;Sauces [condiments];0.0
Sea water for cooking;Seasonings;0.0
Sea water for cooking;Spices;0.0
Sea water for cooking;Sugar;0.0
Sea water for cooking;Sweetmeats [candy];0.0
Sea water for cooking;Syrups and treacles;0.0
Sea water for cooking;Tapioca;0.0
Sea water for cooking;Tea;0.0
Sea water for cooking;Vegetables, cooked;0.0
Sea water for cooking;Vegetables, dried;0.0
Sea water for cooking;Vinegar;0.0
Sea water for cooking;Yeast;0.0
Seafood [not live];Seafood extracts;0.0
Seals, sealants and fillers;Doors, gates, windows and window coverings, not of metal;0.0
Seals, sealants and fillers;Statues and works of art made of materials such as stone, concrete and marble, included in the class;0.0
Seals, sealants and fillers;Structures and transportable buildings, not of metal;0.0
Seasonings;Artificial coffee;0.0
Seasonings;Baking powder;0.0
Seasonings;Bread;0.0
Seasonings;Buns;0.0
Seasonings;Chai tea;0.0
Seasonings;Cheeseburgers [sandwiches];0.0
Seasonings;Chocolate spreads;0.0
Seasonings;Cocoa;0.0
Seasonings;Coffee;0.0
Seasonings;Custard;0.0
Seasonings;Dairy products and dairy substitutes;0.0
Seasonings;Edible ices;0.0
Seasonings;Eggs;0.0
Seasonings;Fruit, fresh;0.0
Seasonings;Glucose for culinary purposes;0.0
Seasonings;Golden syrup;0.0
Seasonings;Honey;0.0
Seasonings;Lecithin for culinary purposes;0.0
Seasonings;Malt biscuits;0.0
Seasonings;Milk;0.0
Seasonings;Milk products;0.0
Seasonings;Molasses for food;0.0
Seasonings;Noodle-based prepared meals;0.0
Seasonings;Pastries;0.0
Seasonings;Pollen prepared as foodstuff;0.0
Seasonings;Propolis;0.0
Seasonings;Rice;0.0
Seasonings;Rice-based snack food;0.0
Seasonings;Royal jelly;0.0
Seasonings;Sago;0.0
Seasonings;Sandwiches;0.0
Seasonings;Spring rolls;0.0
Seasonings;Sugar;0.0
Seasonings;Sweet spreads [honey];0.0
Seasonings;Syrups and treacles;0.0
Seasonings;Tapioca;0.0
Seasonings;Tea;0.0
Seasonings;Vegetables, fresh;0.0
Seasonings;Yeast;0.0
Seats;Delivery of furniture;0.0
Seats;Storage of furniture;0.0
Seaweed extracts for food;Edible ices;0.0
Seaweed extracts for food;Edible oils and fats;0.0
Seaweed extracts for food;Eggs;0.0
Seaweed extracts for food;Ice for refreshment;0.0
Seaweed extracts for food;Jellies, jams, compotes, fruit and vegetable spreads;0.0
Seaweed extracts for food;Meat extracts;0.0
Seaweed extracts for food;Meat, fish, poultry and game;0.0
Seaweed extracts for food;Mustard;0.0
Seaweed extracts for food;Rice;0.0
Seaweed extracts for food;Salt;0.0
Seaweed extracts for food;Sugar, honey, treacle;0.0
Securities and commodities trading services;Astrological and spiritual services;0.0
Securities and commodities trading services;Dating services;0.0
Securities and commodities trading services;Detective services;0.0
Securities and commodities trading services;Funerary services;0.0
Securities and commodities trading services;Religious services;0.0
Securities and commodities trading services;Rental of clothing;0.0
Securities brokerage;Real estate affairs;0.0
Seedlings;Chocolate;0.0
Seedlings;Gingerbread;0.0
Seedlings;Sweetmeats [candy];0.0
Seeds for planting;Christmas trees;0.0
Seeds for planting;Cucumbers, fresh;0.0
Seeds for planting;Dog biscuits;0.0
Seeds for planting;Edible chews for animals;0.0
Seeds for planting;Fish, live;0.0
Seeds for planting;Fruit, fresh;0.0
Seeds for planting;Lemons, fresh;0.0
Seeds for planting;Lettuce, fresh;0.0
Seeds for planting;Litter for animals;0.0
Seeds for planting;Live animals;0.0
Seeds for planting;Potatoes, fresh;0.0
Seeds for planting;Poultry, live;0.0
Seeds for planting;Vegetables, fresh;0.0
Seeds for planting;Wheat proteins for animal food;0.0
Semi-worked glass;Armchairs;0.0
Semi-worked glass;Bassinets;0.0
Semi-worked glass;Beds;0.0
Semi-worked glass;Cradles;0.0
Semi-worked glass;Divans;0.0
Semi-worked glass;Furniture;0.0
Semi-worked glass;Mattresses;0.0
Semi-worked glass;Pillows;0.0
Semi-worked glass;Upholstered convertible furniture;0.0
Sensitised paper;Acoustic insulation articles and materials;0.0
Sensitised paper;Adhesive tapes, strips, bands and films;0.0
Sensitised paper;Chemicals for use in agriculture;0.0
Sensitised paper;Clutch and brake linings;0.0
Sensitised paper;Elastomers;0.0
Sensitised paper;Electrical insulation articles and materials;0.0
Sensitised paper;Fire extinguishing compositions;0.0
Sensitised paper;Fire resistant and fire preventive articles and materials;0.0
Sensitised paper;Food and beverage colorings;0.0
Sensitised paper;Lacquers and varnishes;0.0
Sensitised paper;Membranes and semi-processed synthetic filtering materials;0.0
Sensitised paper;Metal in foil and powder form;0.0
Sensitised paper;Mineral fibers;0.0
Sensitised paper;Pipes and tubes, and fittings therefor, including valves, non-metallic;0.0
Sensitised paper;Pitch, tar, bitumen and asphalt;0.0
Sensitised paper;Polyester;0.0
Sensitised paper;Preservatives;0.0
Sensitised paper;Railway materials, non-metallic;0.0
Sensitised paper;Scaffolding, non-metallic;0.0
Sensitised paper;Shock-absorbing and packing materials, vibration dampers;0.0
Sensitised paper;Signs, and information and advertising displays, non-metallic;0.0
Sensitised paper;Soldering preparations;0.0
Sensitised paper;Stone, rock, clay and minerals;0.0
Sensitised paper;Synthetic resins, unprocessed;0.0
Sensitised paper;Thermal insulation articles and materials;0.0
Sensitised paper;Tire restoration and repair materials;0.0
Sensitised paper;Waterproofing and moisture proofing articles and materials;0.0
Sensitised paper;Wood and artificial wood;0.0
Sensitized films, unexposed;Chemicals for use in agriculture;0.0
Sensitized films, unexposed;Soldering preparations;0.0
Sensitized photographic plates;Adhesives for use in industry;0.0
